iter	Logloss
0	0.6680534789
1	0.6471833824
2	0.627306106
3	0.6095913064
4	0.5943461231
5	0.5823275657
6	0.5701951739
7	0.5592490783
8	0.5492342416
9	0.5407923883
10	0.5334256476
11	0.5271859183
12	0.5208038663
13	0.5159772166
14	0.5111375356
15	0.5066301596
16	0.5030821252
17	0.4998154446
18	0.496432767
19	0.4938028711
20	0.4911890159
21	0.4886927245
22	0.4871654961
23	0.4851201504
24	0.483769785
25	0.482176254
26	0.4807768126
27	0.4796383606
28	0.4793056205
29	0.4785047673
30	0.47772962
31	0.477331907
32	0.4766673565
33	0.4756575154
34	0.474912897
35	0.4744856319
36	0.4740708831
37	0.4738112691
38	0.4735904983
39	0.4732381174
40	0.4728787634
41	0.4725697282
42	0.4725331735
43	0.4722209351
44	0.4720572838
45	0.4715679691
46	0.4714443582
47	0.4711420933
48	0.4709846709
49	0.4707360927
50	0.4706346611
51	0.4706302593
52	0.4704909336
53	0.4702565584
54	0.4702309358
55	0.4698246535
56	0.4697953925
57	0.4696774273
58	0.4696473892
59	0.4694445683
60	0.4693355297
61	0.469333691
62	0.4693125012
63	0.4691234078
64	0.468918162
65	0.4687819117
66	0.46867679
67	0.4686104342
68	0.4684747508
69	0.4684045502
70	0.4681078968
71	0.4680697936
72	0.4680686887
73	0.4679995327
74	0.4679993133
75	0.4679905377
76	0.4679195016
77	0.4678572104
78	0.4677802799
79	0.4675542719
80	0.4675260158
81	0.4674773549
82	0.4674228318
83	0.4673074708
84	0.4672100452
85	0.4671837663
86	0.4671816438
87	0.4671801417
88	0.4671448327
89	0.4671013347
90	0.467085242
91	0.4670669657
92	0.4670559904
93	0.4669849657
94	0.4669525494
95	0.4668611234
96	0.4668526085
97	0.4667943703
98	0.4666445986
99	0.4666027939
100	0.4665766635
101	0.466542229
102	0.4664757414
103	0.4664473635
104	0.4663680762
105	0.4663534305
106	0.4661751449
107	0.466171555
108	0.4661617089
109	0.4661407283
110	0.4660939979
111	0.4660797955
112	0.4659292185
113	0.4659203833
114	0.4657526886
115	0.4656972056
116	0.4656708116
117	0.4656591597
118	0.4655614386
119	0.4654613683
120	0.4653761947
121	0.465342571
122	0.4651255525
123	0.4651158703
124	0.4650270082
125	0.46498623
126	0.4648535794
127	0.4648390503
128	0.4648323749
129	0.4647153734
130	0.4647013117
131	0.4646653102
132	0.4645761197
133	0.4645190169
134	0.4644904625
135	0.4644493722
136	0.4643536756
137	0.4643156393
138	0.4642382099
139	0.4641831258
140	0.4641382585
141	0.4641382585
142	0.4641130043
143	0.4641126011
144	0.4639885331
145	0.4639885331
146	0.4639885331
147	0.4639484267
148	0.4639481725
149	0.4638436658
150	0.4637483171
151	0.4636777679
152	0.4636706462
153	0.4636687089
154	0.4635769714
155	0.4634830443
156	0.4634830438
157	0.4634812027
158	0.4633799285
159	0.4633687851
160	0.4632878699
161	0.4631772282
162	0.4631030986
163	0.4630895219
164	0.4629487728
165	0.4629487728
166	0.4629268884
167	0.4629190122
168	0.4629190119
169	0.4628838583
170	0.4628828462
171	0.4628031428
172	0.4626343559
173	0.4626343554
174	0.4625869086
175	0.462586502
176	0.4625323367
177	0.4625322364
178	0.4624797824
179	0.4624788739
180	0.4624354903
181	0.462322995
182	0.4622587949
183	0.46210059
184	0.4620076878
185	0.4619146754
186	0.4617408935
187	0.4616305967
188	0.4615574767
189	0.4615110503
190	0.4613871282
191	0.4613015591
192	0.4612587782
193	0.4611767864
194	0.4610890371
195	0.4608691147
196	0.460754153
197	0.4605956165
198	0.4605680196
199	0.4604460541
200	0.4603684907
201	0.4601932772
202	0.4601932769
203	0.4601530113
204	0.460032079
205	0.459979215
206	0.459806019
207	0.4597375298
208	0.459580894
209	0.4595208215
210	0.4594972599
211	0.4593242321
212	0.4592885239
213	0.4591774218
214	0.4591362063
215	0.4590392876
216	0.4589077071
217	0.4588338952
218	0.4586575236
219	0.4584713098
220	0.4583654342
221	0.4582374344
222	0.4580123828
223	0.4578522885
224	0.4576641992
225	0.4574747589
226	0.4572918245
227	0.4572624899
228	0.4570853832
229	0.4569147653
230	0.4567479513
231	0.4565947845
232	0.456452346
233	0.4562942938
234	0.4561736827
235	0.4561654037
236	0.4560473066
237	0.455951455
238	0.4558338664
239	0.4557146128
240	0.4556808895
241	0.4555560084
242	0.4553543338
243	0.4552125426
244	0.4550301955
245	0.4550203836
246	0.4549634358
247	0.4548185252
248	0.4546710772
249	0.4545159787
250	0.4544096236
251	0.4542749841
252	0.4541175751
253	0.4539378886
254	0.45390323
255	0.4537604068
256	0.4536593246
257	0.4535342349
258	0.4534034536
259	0.4532555705
260	0.4530554784
261	0.4529451094
262	0.4528517579
263	0.4527706369
264	0.4526709067
265	0.452647967
266	0.4525647016
267	0.4525152181
268	0.4524182952
269	0.4522745578
270	0.4521447465
271	0.4520526049
272	0.4519237875
273	0.4517858346
274	0.4516529225
275	0.4515521913
276	0.4514156644
277	0.4513013674
278	0.4511446511
279	0.4510961535
280	0.4510778146
281	0.450830871
282	0.4507841677
283	0.4506679734
284	0.4505478629
285	0.4505174391
286	0.4504466061
287	0.4503121866
288	0.4501992871
289	0.4500587316
290	0.4499590471
291	0.4498030133
292	0.4496956689
293	0.4495828843
294	0.4494290372
295	0.4493355983
296	0.449179869
297	0.4490392397
298	0.4489034676
299	0.448796686
